IMG,MSE_DIP,MSE_DIP+ES_VAR,MSE_NO_DIP,SSIM_DIP,SSIM_DIP+ES_VAR,SSIM_NO_DIP,PSNR_DIP,PSNR_DIP+ES_VAR,PSNR_NO_DIP
000000000139_00745_ddnet.png,29.2965087890625,28.31927490234375,37.87786865234375,0.8755974163263729,0.8802140711296613,0.8342670478284124,33.46264491503013,33.609982315515346,32.346948271408934
000000000139_00759_ddnet.png,34.724822998046875,33.407806396484375,39.023773193359375,0.819197331732059,0.8320981918370146,0.8088070036099169,32.72440320170783,32.89232400679598,32.217511020156884
000000000285_00742_ddnet.png,78.97689819335938,79.57817077636719,81.84556579589844,0.48796227223657934,0.46349499613259837,0.36762484255594025,29.15580287987531,29.12286408852971,29.000852055565822
000000000285_00756_ddnet.png,82.25927734375,82.84507751464844,81.25822448730469,0.5802849911173945,0.5621930214806904,0.4148447526324497,28.978954709998874,28.948136522373137,29.03213032217788
000000000285_00761_ddnet.png,78.08001708984375,77.99992370605469,82.29603576660156,0.5233594151619977,0.5029384405997753,0.3837382911858898,29.20540461152615,29.209861829730155,28.97701445293009
000000000632_00740_ddnet.png,72.59271240234375,72.875244140625,76.07479858398438,0.672739706439584,0.6787635421757952,0.633664736125749,29.52187336893833,29.50500338160893,29.318395496764165
000000000632_00749_ddnet.png,84.8248291015625,85.0147705078125,83.97470092773438,0.5192213454663341,0.513591171883623,0.47988370687084525,28.8455736753246,28.83585974062386,28.88931895072469
000000000724_00752_ddnet.png,58.28936767578125,58.64897155761719,61.88899230957031,0.7401186748066899,0.7397296051007461,0.7335055103904818,30.474910167580806,30.448199599452266,30.214669493975215
000000000724_00767_ddnet.png,65.45361328125,64.67578125,63.09735107421875,0.6980520285644902,0.7048053192546699,0.6981243016099999,29.97146734659607,30.02338677394834,30.130692336047193
000000000724_00768_ddnet.png,65.78495788574219,65.77009582519531,63.564788818359375,0.6632702002957922,0.6570027782930598,0.6569043500057399,29.949537598684262,29.95051886253245,30.098637523979495
000000000776_00763_ddnet.png,72.08543395996094,74.04302978515625,74.76509094238281,0.5303511517704447,0.516662356414275,0.4501752149776419,29.552328435812136,29.43596179419497,29.393814949547536
000000000776_00765_ddnet.png,58.00770568847656,59.98811340332031,63.42057800292969,0.7500436681984689,0.7556837284696121,0.6768020806785056,30.49594672206709,30.350151570636662,30.10850165082564

#######################################################################
 ** MSE
 Mean                 DIP: 65.03   DIP+ES_VAR: 65.26   NO_DIP: 67.42
 Standard Deviation   DIP: 16.96   DIP+ES_VAR: 17.45   NO_DIP: 15.23
 ** SSIM
 Mean                 DIP: 0.66   DIP+ES_VAR: 0.65   NO_DIP: 0.59
 Standard Deviation   DIP: 0.12   DIP+ES_VAR: 0.13   NO_DIP: 0.16
 ** PSNR
 Mean                 DIP: 30.19   DIP+ES_VAR: 30.19   NO_DIP: 29.98
 Standard Deviation   DIP: 1.40   DIP+ES_VAR: 1.46   NO_DIP: 1.14
#######################################################################
